cve_id,arm,dimension,n_passes,mean_score,sd_score,scores
CVE-2021-37976,nvd,comprehension,3,5.0,0.0,"[5, 5, 5]"
CVE-2021-37976,nvd,faithfulness,3,5.0,0.0,"[5, 5, 5]"
CVE-2021-37976,persona,comprehension,3,5.0,0.0,"[5, 5, 5]"
CVE-2021-37976,persona,faithfulness,3,3.0,0.0,"[3, 3, 3]"
CVE-2021-42013,baseline,comprehension,3,5.0,0.0,"[5, 5, 5]"
CVE-2021-42013,baseline,faithfulness,3,3.0,0.0,"[3, 3, 3]"
CVE-2021-42013,nvd,comprehension,3,4.666666666666667,0.5773502691896258,"[5, 4, 5]"
CVE-2021-42013,nvd,faithfulness,3,5.0,0.0,"[5, 5, 5]"
CVE-2021-42013,persona,comprehension,3,5.0,0.0,"[5, 5, 5]"
CVE-2021-42013,persona,faithfulness,3,3.0,0.0,"[3, 3, 3]"
CVE-2022-28810,baseline,comprehension,3,5.0,0.0,"[5, 5, 5]"
CVE-2022-28810,baseline,faithfulness,3,3.0,0.0,"[3, 3, 3]"
CVE-2022-28810,nvd,comprehension,3,5.0,0.0,"[5, 5, 5]"
CVE-2022-28810,nvd,faithfulness,3,5.0,0.0,"[5, 5, 5]"
CVE-2022-28810,persona,comprehension,3,5.0,0.0,"[5, 5, 5]"
CVE-2022-28810,persona,faithfulness,3,4.0,0.0,"[4, 4, 4]"
CVE-2022-3062,baseline,comprehension,3,5.0,0.0,"[5, 5, 5]"
CVE-2022-3062,baseline,faithfulness,3,3.6666666666666665,0.5773502691896258,"[4, 4, 3]"
CVE-2022-3062,nvd,comprehension,3,4.0,0.0,"[4, 4, 4]"
CVE-2022-3062,nvd,faithfulness,3,5.0,0.0,"[5, 5, 5]"
CVE-2022-3062,persona,comprehension,3,5.0,0.0,"[5, 5, 5]"
CVE-2022-3062,persona,faithfulness,3,5.0,0.0,"[5, 5, 5]"
CVE-2022-40765,baseline,comprehension,3,5.0,0.0,"[5, 5, 5]"
CVE-2022-40765,baseline,faithfulness,3,3.0,0.0,"[3, 3, 3]"
CVE-2022-40765,nvd,comprehension,3,4.0,0.0,"[4, 4, 4]"
CVE-2022-40765,nvd,faithfulness,3,5.0,0.0,"[5, 5, 5]"
CVE-2022-40765,persona,comprehension,3,5.0,0.0,"[5, 5, 5]"
CVE-2022-40765,persona,faithfulness,3,3.0,0.0,"[3, 3, 3]"
CVE-2023-0157,baseline,comprehension,3,5.0,0.0,"[5, 5, 5]"
CVE-2023-0157,baseline,faithfulness,3,4.0,0.0,"[4, 4, 4]"
CVE-2023-0157,nvd,comprehension,3,5.0,0.0,"[5, 5, 5]"
CVE-2023-0157,nvd,faithfulness,3,5.0,0.0,"[5, 5, 5]"
CVE-2023-0157,persona,comprehension,3,5.0,0.0,"[5, 5, 5]"
CVE-2023-0157,persona,faithfulness,3,4.0,0.0,"[4, 4, 4]"
CVE-2023-21608,baseline,comprehension,3,5.0,0.0,"[5, 5, 5]"
CVE-2023-21608,baseline,faithfulness,3,3.0,0.0,"[3, 3, 3]"
CVE-2023-21608,nvd,comprehension,3,5.0,0.0,"[5, 5, 5]"
CVE-2023-21608,nvd,faithfulness,3,5.0,0.0,"[5, 5, 5]"
CVE-2023-21608,persona,comprehension,3,5.0,0.0,"[5, 5, 5]"
CVE-2023-21608,persona,faithfulness,3,3.0,0.0,"[3, 3, 3]"
CVE-2023-29119,baseline,comprehension,3,5.0,0.0,"[5, 5, 5]"
CVE-2023-29119,baseline,faithfulness,3,2.6666666666666665,0.5773502691896258,"[2, 3, 3]"
CVE-2023-29119,nvd,comprehension,3,3.0,0.0,"[3, 3, 3]"
CVE-2023-29119,nvd,faithfulness,3,5.0,0.0,"[5, 5, 5]"
CVE-2023-29119,persona,comprehension,3,5.0,0.0,"[5, 5, 5]"
CVE-2023-29119,persona,faithfulness,3,3.0,0.0,"[3, 3, 3]"
CVE-2023-43661,baseline,comprehension,3,5.0,0.0,"[5, 5, 5]"
CVE-2023-43661,baseline,faithfulness,3,3.0,0.0,"[3, 3, 3]"
CVE-2023-43661,nvd,comprehension,3,4.0,0.0,"[4, 4, 4]"
CVE-2023-43661,nvd,faithfulness,3,5.0,0.0,"[5, 5, 5]"
CVE-2023-43661,persona,comprehension,3,5.0,0.0,"[5, 5, 5]"
CVE-2023-43661,persona,faithfulness,3,3.0,0.0,"[3, 3, 3]"
CVE-2023-44221,baseline,comprehension,3,5.0,0.0,"[5, 5, 5]"
CVE-2023-44221,baseline,faithfulness,3,3.0,0.0,"[3, 3, 3]"
CVE-2023-44221,nvd,comprehension,3,4.0,0.0,"[4, 4, 4]"
CVE-2023-44221,nvd,faithfulness,3,5.0,0.0,"[5, 5, 5]"
CVE-2023-44221,persona,comprehension,3,5.0,0.0,"[5, 5, 5]"
CVE-2023-44221,persona,faithfulness,3,3.0,0.0,"[3, 3, 3]"
CVE-2023-50919,baseline,comprehension,3,5.0,0.0,"[5, 5, 5]"
CVE-2023-50919,baseline,faithfulness,3,3.0,0.0,"[3, 3, 3]"
CVE-2023-50919,nvd,comprehension,3,3.0,0.0,"[3, 3, 3]"
CVE-2023-50919,nvd,faithfulness,3,5.0,0.0,"[5, 5, 5]"
CVE-2023-50919,persona,comprehension,3,5.0,0.0,"[5, 5, 5]"
CVE-2023-50919,persona,faithfulness,3,3.0,0.0,"[3, 3, 3]"
CVE-2024-1781,baseline,comprehension,3,5.0,0.0,"[5, 5, 5]"
CVE-2024-1781,baseline,faithfulness,3,3.0,0.0,"[3, 3, 3]"
CVE-2024-1781,nvd,comprehension,3,3.3333333333333335,0.5773502691896258,"[3, 4, 3]"
CVE-2024-1781,nvd,faithfulness,3,5.0,0.0,"[5, 5, 5]"
CVE-2024-1781,persona,comprehension,3,5.0,0.0,"[5, 5, 5]"
CVE-2024-1781,persona,faithfulness,3,3.0,0.0,"[3, 3, 3]"
CVE-2024-21887,baseline,comprehension,3,5.0,0.0,"[5, 5, 5]"
CVE-2024-21887,baseline,faithfulness,3,3.0,0.0,"[3, 3, 3]"
CVE-2024-21887,nvd,comprehension,3,4.0,0.0,"[4, 4, 4]"
CVE-2024-21887,nvd,faithfulness,3,5.0,0.0,"[5, 5, 5]"
CVE-2024-21887,persona,comprehension,3,5.0,0.0,"[5, 5, 5]"
CVE-2024-21887,persona,faithfulness,3,3.0,0.0,"[3, 3, 3]"
CVE-2024-3400,baseline,comprehension,3,5.0,0.0,"[5, 5, 5]"
CVE-2024-3400,baseline,faithfulness,3,3.0,0.0,"[3, 3, 3]"
CVE-2024-3400,nvd,comprehension,3,4.0,0.0,"[4, 4, 4]"
CVE-2024-3400,nvd,faithfulness,3,5.0,0.0,"[5, 5, 5]"
CVE-2024-3400,persona,comprehension,3,5.0,0.0,"[5, 5, 5]"
CVE-2024-3400,persona,faithfulness,3,3.3333333333333335,0.5773502691896258,"[3, 3, 4]"
