cve_id,arm,rouge1,rouge2,rougeL,bertscore_precision,bertscore_recall,bertscore_f1,dc_score_summary,dc_score_nvd,word_count
CVE-2020-8655,persona,0.1962025316455696,0.07643312101910829,0.1329113924050633,0.816997230052948,0.8944438695907593,0.8539682626724243,11.708386542443064,13.9785,279
CVE-2023-21608,baseline,0.3303303303303304,0.1933534743202417,0.24624624624624622,0.8316155672073364,0.9214655160903931,0.8742380738258362,11.305445911949686,11.743686153846156,268
CVE-2023-21608,persona,0.32738095238095244,0.21556886227544908,0.255952380952381,0.8347605466842651,0.9233362674713135,0.8768171668052673,11.26510203317282,11.743686153846156,270
CVE-2022-3062,baseline,0.1647940074906367,0.0830188679245283,0.14232209737827714,0.7930543422698975,0.9164196252822876,0.8502856492996216,11.611473809523812,11.07211739130435,224
CVE-2022-3062,persona,0.16849816849816848,0.08118081180811808,0.1391941391941392,0.8118097186088562,0.919910728931427,0.8624861836433411,11.497737966101695,11.07211739130435,239
CVE-2023-0157,baseline,0.3424657534246575,0.1379310344827586,0.2191780821917808,0.8364982008934021,0.9062815308570862,0.8699927926063538,11.557358997050148,12.641496078431373,229
CVE-2023-0157,persona,0.31948881789137384,0.1607717041800643,0.20447284345047925,0.8340420722961426,0.9055342674255371,0.8683190941810608,11.803003401360545,12.641496078431373,248
CVE-2021-30970,baseline,0.18947368421052632,0.08480565371024736,0.13333333333333333,0.8126959800720215,0.9076477885246277,0.8575514554977417,11.88003581336696,13.189287096774192,247
CVE-2021-30970,persona,0.1708860759493671,0.09554140127388536,0.11392405063291139,0.8020742535591125,0.9027063250541687,0.8494201898574829,12.026848717948718,13.189287096774192,260
CVE-2024-1781,baseline,0.3545706371191136,0.15598885793871867,0.20498614958448755,0.8263508677482605,0.893666684627533,0.8586915135383606,11.797765602322206,10.303742253521126,268
CVE-2024-1781,persona,0.3259668508287293,0.1277777777777778,0.20994475138121552,0.826343297958374,0.8926838040351868,0.8582334518432617,12.071505089647195,10.303742253521126,269
CVE-2021-37976,baseline,0.20769230769230768,0.10852713178294573,0.14615384615384616,0.8145354986190796,0.9140129089355469,0.8614118099212646,11.706357507198684,15.417581481481482,224
CVE-2021-37976,persona,0.12935323383084577,0.06999999999999999,0.08955223880597016,0.7650283575057983,0.9176974296569824,0.8344373106956482,11.988587675388699,15.417581481481482,293
CVE-2022-28810,baseline,0.2857142857142857,0.10919540229885058,0.17714285714285713,0.8182885646820068,0.8945581912994385,0.8547253012657166,12.248906257521059,13.816690476190479,280
CVE-2022-28810,persona,0.29649595687331537,0.13550135501355012,0.18328840970350405,0.8279211521148682,0.8985376358032227,0.8617851734161377,12.074407829977629,13.816690476190479,301
CVE-2021-22204,baseline,0.12612612612612611,0.054380664652567974,0.08408408408408408,0.8040530681610107,0.8833732604980469,0.8418489098548889,12.181575287503195,14.3621,304
CVE-2021-22204,persona,0.12389380530973451,0.07121661721068251,0.08259587020648967,0.8083400726318359,0.8919670581817627,0.848097026348114,12.091443656343657,14.3621,311
CVE-2022-40765,baseline,0.21752265861027192,0.1094224924012158,0.1268882175226586,0.8261253833770752,0.9223562479019165,0.8715927004814148,11.586139938556068,12.62507142857143,282
CVE-2022-40765,persona,0.21203438395415472,0.12103746397694523,0.12607449856733524,0.8178037405014038,0.9195371270179749,0.8656918406486511,11.510141700223715,12.62507142857143,301
